Scenario ID,Scenario Name,Type,Section,Quality Category,File
BP-IR-01,Verifying Policy Answer Accuracy,Business-Problem,Information Retrieval & Policy Q&A,Business Scenario Quality,business-problem-scenarios/information-retrieval-and-policy-qa.md
BP-IR-02,Testing Answer Personalization by User Context,Business-Problem,Information Retrieval & Policy Q&A,Business Scenario Quality,business-problem-scenarios/information-retrieval-and-policy-qa.md
BP-IR-03,Validating Source Attribution,Business-Problem,Information Retrieval & Policy Q&A,Business Scenario Quality,business-problem-scenarios/information-retrieval-and-policy-qa.md
BP-IR-04,Testing Answer Currency,Business-Problem,Information Retrieval & Policy Q&A,Business Scenario Quality,business-problem-scenarios/information-retrieval-and-policy-qa.md
BP-IR-05,Handling Ambiguous or Broad Queries,Business-Problem,Information Retrieval & Policy Q&A,Business Scenario Quality,business-problem-scenarios/information-retrieval-and-policy-qa.md
BP-IR-06,Negative Test: Incorrect Source Retrieval,Business-Problem,Information Retrieval & Policy Q&A,Business Scenario Quality,business-problem-scenarios/information-retrieval-and-policy-qa.md
BP-TS-01,Verifying Diagnostic Step Accuracy,Business-Problem,Troubleshooting & Guided Diagnosis,Business Scenario Quality,business-problem-scenarios/troubleshooting-and-guided-diagnosis.md
BP-TS-02,Testing Platform-Aware Troubleshooting,Business-Problem,Troubleshooting & Guided Diagnosis,Business Scenario Quality,business-problem-scenarios/troubleshooting-and-guided-diagnosis.md
BP-TS-03,Validating Escalation Judgment,Business-Problem,Troubleshooting & Guided Diagnosis,Business Scenario Quality,business-problem-scenarios/troubleshooting-and-guided-diagnosis.md
BP-TS-04,Testing Multi-Step Diagnosis Completeness,Business-Problem,Troubleshooting & Guided Diagnosis,Business Scenario Quality,business-problem-scenarios/troubleshooting-and-guided-diagnosis.md
BP-TS-05,Handling Intermittent or Unreproducible Issues,Business-Problem,Troubleshooting & Guided Diagnosis,Business Scenario Quality,business-problem-scenarios/troubleshooting-and-guided-diagnosis.md
